gene	gene length
A3GALT2	1023
AADACL3	1224
AADACL4	1224
ABCA4	6822
ABCB10	2217
ABCD3	1980
ABL2	3549
ACADM	1278
ACAP3	2505
ACBD3	1587
ACBD6	849
ACOT11	1824
ACOT7	1143
ACP6	1287
ACTA1	1134
ACTL8	1101
ACTN2	2685
ACTRT2	1134
ADAM15	2592
ADAM30	2373
ADAMTS4	2514
ADAMTSL4	3225
ADAR	3681
AZIN2	1383
ADCK3	1944
ADCY10	4833
ADIPOR1	1128
ADORA1	981
ADORA3	1044
ADPRHL2	1092
ADSS	1371
AGBL4	1512
AGL	4599
AGMAT	1059
AGRN	6138
AGT	1458
AGTRAP	480
AHCTF1	6828
AHCYL1	1593
AHDC1	4812
AIDA	921
AIM1L	4986
AIM2	1032
AJAP1	1236
AK2	720
AK4	672
AK5	1689
AKIRIN1	579
AKNAD1	2511
AKR1A1	978
AKR7A2	1080
AKR7A3	996
AKR7L	996
AKT3	1440
ALDH4A1	1692
ALDH9A1	1557
ALG14	651
ALG6	1524
ALPL	1575
ALX3	1032
AMIGO1	1482
AMPD1	2343
AMPD2	2640
AMY2A	1536
AMY2B	1536
ANGEL2	1635
ANGPTL1	1476
ANGPTL3	1383
ANGPTL7	1041
ANKRD13C	1626
ANKRD34A	1491
ANKRD35	3006
ANKRD36BP1	0
ANKRD45	801
ANKRD65	1200
ANP32E	807
ANXA9	1038
AP4B1	2220
APCS	672
APH1A	798
APITD1	417
APITD1-CORT	495
APOA1BP	867
APOA2	303
APOBEC4	1104
AQP10	906
ARF1	546
ARHGAP29	3786
ARHGAP30	3306
ARHGEF10L	3840
ARHGEF11	4689
ARHGEF16	2130
ARHGEF19	2409
ARHGEF2	2961
ARID1A	6858
ARID4B	3939
ARL8A	561
ARNT	2370
ARPC5	465
ARTN	687
ARV1	816
ASAP3	2712
ASB17	888
ASCL5	621
ASH1L	8895
ASPM	10434
ASTN1	3885
ATAD3A	1905
ATAD3B	1947
ATAD3C	1236
ATF3	546
ATF6	2013
ATG4C	1377
ATP13A2	3543
ATP1A1	3072
ATP1A1-AS1	0
ATP1A2	3063
ATP1A4	3090
ATP1B1	912
ATP2B4	3618
ATP5F1	771
ATP6V0B	618
ATP6V1G3	357
ATP8B2	3672
ATPAF1	1056
ATPIF1	321
